2025-06-17 22:11:00 | INFO     | SchemaAgent | Agent SchemaAgent initialized with ID: a4229c6c-dd56-4cc6-9ff3-574215215cea
2025-06-17 22:11:00 | INFO     | SchemaAgent | Added capability: schema_analysis
2025-06-17 22:11:00 | INFO     | SchemaAgent | Added capability: table_info
2025-06-17 22:11:00 | INFO     | SchemaAgent | Added capability: relationship_discovery
2025-06-17 22:11:00 | INFO     | SchemaAgent | Added capability: query_validation
2025-06-17 22:11:52 | INFO     | SchemaAgent | Agent SchemaAgent initialized with ID: 6fbba8b1-4c72-4529-b304-1356d12c3c11
2025-06-17 22:11:52 | INFO     | SchemaAgent | Added capability: schema_analysis
2025-06-17 22:11:52 | INFO     | SchemaAgent | Added capability: table_info
2025-06-17 22:11:52 | INFO     | SchemaAgent | Added capability: relationship_discovery
2025-06-17 22:11:52 | INFO     | SchemaAgent | Added capability: query_validation
2025-06-17 22:13:01 | INFO     | SchemaAgent | Agent SchemaAgent initialized with ID: eeee49e5-5f6b-4a14-922b-41d023a5fca3
2025-06-17 22:13:01 | INFO     | SchemaAgent | Added capability: schema_analysis
2025-06-17 22:13:01 | INFO     | SchemaAgent | Added capability: table_info
2025-06-17 22:13:01 | INFO     | SchemaAgent | Added capability: relationship_discovery
2025-06-17 22:13:01 | INFO     | SchemaAgent | Added capability: query_validation
2025-06-17 22:14:19 | INFO     | SchemaAgent | Agent SchemaAgent initialized with ID: f7c3bb21-cc27-467e-a938-f7bb7c0d41e0
2025-06-17 22:14:19 | INFO     | SchemaAgent | Added capability: schema_analysis
2025-06-17 22:14:19 | INFO     | SchemaAgent | Added capability: table_info
2025-06-17 22:14:19 | INFO     | SchemaAgent | Added capability: relationship_discovery
2025-06-17 22:14:19 | INFO     | SchemaAgent | Added capability: query_validation
